hebpre	| Hebrew Prehistoric
hebpat	| Hebrew Patriarchs
hebsof	| Hebrew -1500 -1100 Soferim/Shoftim
hebmon	| Hebrew -1100 -0900 United Monarchies
hebdiv	| Hebrew -0900 -0586 Divided Monarchies
hebper	| Hebrew -0586 -0170 Persian/Hellenistic period
hebch1	| Hebrew -0170 +0600 Chazal (Sages)
hebch2	| Hebrew -0170 +0030 Chazal Zugot (Pairs) / Hasmonean
hebch3	| Hebrew +0030 +0200 Chazal Tannaim (Repeaters)
hebch4	| Hebrew +0200 +0500 Chazal Amoraim (Spokesmen)
hebch5	| Hebrew +0500 +0600 Chazal Savoraim (Reasoner)
hebgeo	| Hebrew +0589 +1038 Geonim (splendor)
hebrsh	| Hebrew +1038 +1563 Rishonim (first)
hebmod	| Hebrew +1563 +2020 Acharonim (last) / Modern
afrpre	| Africa Prehistoric
afrold	| Africa Egypt Old Kingdom
afrmid	| Africa Egypt Mid Kingdom
afrnew	| Africa Egypt New Kingdom
afrper	| Africa Egypt Persian Period
afrhel	| Africa Egypt Hellenistic Period
afrcal	| Africa Egypt Caliphates
afrcol	| Africa PostColonial
afrmod	| Africa Modern
mespre	| WestAsia Prehistoric
messum	| WestAsia Sumer Empire
mesasr	| WestAsia Assyria Empire
mesbab	| WestAsia Babylon Empire
mesper	| WestAsia Persia Empire
mespar	| WestAsia Parthia Empire
messas	| WestAsia Sassanid Empire
mescal	| WestAsia Islam Caliphates
mesmod	| WestAsia Modern
indpre	| India Prehistoric
indivc	| India Bronze / IVC & OCP cultures
indvdc	| India Iron / Vedic Period
indbud	| India Buddhist Period
indgup	| India Gupta Empire
indcho	| India Medieval Period / Cholas
indsul	| India Sultunates
indcol	| India Colonial
indmod	| India Modern
chipre	| China Prehistoric
chisag	| China Sages
chixia	| China Xia/Shang/Zhou
chiqin	| China Qin&Han Empires
chisix	| China 6 Dynasties
chists	| China Sui/Tang/Song
chiymq	| China Yuan/Ming/Qing
chimod	| China YuaNModern
eurpre	| Europe Prehistoric
eurmin	| Europe Minoan Empire
eurmyc	| Europe Mycenea Empire
eurgrk	| Europe Greek Monarchies
eurmac	| Europe Macedon Empire
eurrom	| Europe Roman Empire
eurbyz	| Europe Byzantine/Gothic Empires
eurren	| Europe Renaissance/Reformation
eurmod	| Europe Modern
an1pre	| America North Prehistoric/Archaic
an1wdl	| America North Woodland
an1col	| America North Colonial
an1mod	| America North Modern
ac2pre	| America Center Prehistoric/Archaic
ac2mid	| America Center Middle
ac2mod	| America Center Modern
as3pre	| America South Prehistoric/Archaic
as3mid	| America South Middle
as3mod	| America South Modern
